time_s,decision_price_$per_kWh,charge_price_$per_kWh
1,0.3,0.2809
2,0.3,0.2818
3,0.3,0.2826
4,0.3,0.2834
5,0.3,0.2842
6,0.3,0.2849
7,0.3,0.2856
8,0.3,0.2862
9,0.3,0.2869
10,0.3,0.2874
11,0.3,0.288
12,0.3,0.2885
13,0.3,0.289
14,0.3,0.2895
15,0.3,0.29
16,0.3,0.2904
17,0.3,0.2908
18,0.3,0.2912
19,0.3,0.2916
20,0.3,0.2919
21,0.3,0.2922
22,0.3,0.2926
23,0.3,0.2929
24,0.3,0.2931
25,0.3,0.2934
26,0.3,0.2937
27,0.3,0.2939
28,0.3,0.2941
29,0.3,0.2944
30,0.3,0.2946
31,0.3,0.2948
32,0.3,0.295
33,0.3,0.2951
34,0.3,0.2953
35,0.3,0.2955
36,0.3,0.2956
37,0.3,0.2958
38,0.3,0.2959
39,0.3,0.2961
40,0.3,0.2962
41,0.3,0.2963
42,0.3,0.2964
43,0.3,0.2965
44,0.3,0.2966
45,0.3,0.2967
46,0.3,0.2968
47,0.3,0.2969
48,0.3,0.297
49,0.3,0.2971
50,0.3,0.2971
51,0.3,0.2972
52,0.3,0.2973
53,0.3,0.2973
54,0.3,0.2974
55,0.3,0.2975
56,0.3,0.2975
57,0.3,0.2976
58,0.3,0.2976
59,0.3,0.2977
60,0.3,0.2977
61,0.3,0.2978
62,0.3,0.2978
63,0.3,0.2978
64,0.3,0.2979
65,0.3,0.2979
66,0.3,0.2979
67,0.3,0.298
68,0.3,0.298
69,0.3,0.298
70,0.3,0.2981
71,0.3,0.2981
72,0.3,0.2981
73,0.3,0.2981
74,0.3,0.2981
75,0.3,0.2982
76,0.3,0.2982
77,0.3,0.2982
78,0.3,0.2982
79,0.3,0.2982
80,0.3,0.2983
81,0.3,0.2983
82,0.3,0.2983
83,0.3,0.2983
84,0.3,0.2983
85,0.3,0.2983
86,0.3,0.2983
87,0.3,0.2984
88,0.3,0.2984
89,0.3,0.2984
90,0.3,0.2984
91,0.3,0.2984
92,0.3,0.2984
93,0.3,0.2984
94,0.3,0.2984
95,0.3,0.2984
96,0.3,0.2984
97,0.3,0.2984
98,0.3,0.2984
99,0.3,0.2984
100,0.3,0.2985
101,0.3,0.2985
102,0.3,0.2985
103,0.3,0.2985
104,0.3,0.2985
105,0.3,0.2985
106,0.3,0.2985
107,0.3,0.2985
108,0.3,0.2985
109,0.3,0.2985
110,0.3,0.2985
111,0.3,0.2985
112,0.3,0.2985
113,0.3,0.2985
114,0.3,0.2985
115,0.3,0.2985
116,0.3,0.2985
117,0.3,0.2985
118,0.3,0.2985
119,0.3,0.2985
120,0.3,0.2985
121,0.3,0.2985
122,0.3,0.2985
123,0.3,0.2985
124,0.3,0.2985
125,0.3,0.2985
126,0.3,0.2985
127,0.3,0.2985
128,0.3,0.2985
129,0.3,0.2985
130,0.3,0.2985
131,0.3,0.2985
132,0.3,0.2985
133,0.3,0.2985
134,0.3,0.2985
135,0.3,0.2985
136,0.3,0.2985
137,0.3,0.2985
138,0.3,0.2985
139,0.3,0.2986
140,0.3,0.2986
141,0.3,0.2986
142,0.3,0.2986
143,0.3,0.2986
144,0.3,0.2986
145,0.3,0.2986
146,0.3,0.2986
147,0.3,0.2986
148,0.3,0.2986
149,0.3,0.2986
150,0.3,0.2986
151,0.3,0.2986
152,0.3,0.2986
153,0.3,0.2986
154,0.3,0.2986
155,0.3,0.2986
156,0.3,0.2986
157,0.3,0.2986
158,0.3,0.2986
159,0.3,0.2986
160,0.3,0.2986
161,0.3,0.2986
162,0.3,0.2986
163,0.3,0.2986
164,0.3,0.2986
165,0.3,0.2986
166,0.3,0.2986
167,0.3,0.2986
168,0.3,0.2986
169,0.3,0.2986
170,0.3,0.2986
171,0.3,0.2986
172,0.3,0.2986
173,0.3,0.2986
174,0.3,0.2986
175,0.3,0.2986
176,0.3,0.2986
177,0.3,0.2986
178,0.3,0.2986
179,0.3,0.2986
180,0.3,0.2986
181,0.3,0.2986
182,0.3,0.2986
183,0.3,0.2986
184,0.3,0.2986
185,0.3,0.2986
186,0.3,0.2986
187,0.3,0.2986
188,0.3,0.2986
189,0.3,0.2986
190,0.3,0.2986
191,0.3,0.2986
192,0.3,0.2986
193,0.3,0.2986
194,0.3,0.2986
195,0.3,0.2986
196,0.3,0.2986
197,0.3,0.2986
198,0.3,0.2986
199,0.3,0.2986
200,0.3,0.2986
201,0.3,0.2986
202,0.3,0.2986
203,0.3,0.2986
204,0.3,0.2986
205,0.3,0.2986
206,0.3,0.2986
207,0.3,0.2986
208,0.3,0.2986
209,0.3,0.2986
210,0.3,0.2986
211,0.3,0.2986
212,0.3,0.2986
213,0.3,0.2986
214,0.3,0.2986
215,0.3,0.2986
216,0.3,0.2986
217,0.3,0.2986
218,0.3,0.2986
219,0.3,0.2986
220,0.3,0.2986
221,0.3,0.2986
222,0.3,0.2986
223,0.3,0.2986
224,0.3,0.2986
225,0.3,0.2986
226,0.3,0.2986
227,0.3,0.2986
228,0.3,0.2986
229,0.3,0.2986
230,0.3,0.2986
231,0.3,0.2986
232,0.3,0.2986
233,0.3,0.2986
234,0.3,0.2986
235,0.3,0.2986
236,0.3,0.2986
237,0.3,0.2986
238,0.3,0.2986
239,0.3,0.2986
240,0.2,0.2958
241,0.2,0.2932
242,0.2,0.2908
243,0.2,0.2884
244,0.2,0.2862
245,0.2,0.2841
246,0.2,0.2821
247,0.2,0.2802
248,0.2,0.2784
249,0.2,0.2767
250,0.2,0.275
251,0.2,0.2735
252,0.2,0.272
253,0.2,0.2706
254,0.2,0.2693
255,0.2,0.268
256,0.2,0.2668
257,0.2,0.2657
258,0.2,0.2646
259,0.2,0.2636
260,0.2,0.2626
261,0.2,0.2617
262,0.2,0.2608
263,0.2,0.2599
264,0.2,0.2591
265,0.2,0.2584
266,0.2,0.2577
267,0.2,0.257
268,0.2,0.2563
269,0.2,0.2557
270,0.2,0.2551
271,0.2,0.2546
272,0.2,0.254
273,0.2,0.2535
274,0.2,0.2531
275,0.2,0.2526
276,0.2,0.2522
277,0.2,0.2518
278,0.2,0.2514
279,0.2,0.251
280,0.2,0.2507
281,0.2,0.2503
282,0.2,0.25
283,0.2,0.2497
284,0.2,0.2494
285,0.2,0.2492
286,0.2,0.2489
287,0.2,0.2487
288,0.2,0.2484
289,0.2,0.2482
290,0.2,0.248
291,0.2,0.2478
292,0.2,0.2476
293,0.2,0.2474
294,0.2,0.2472
295,0.2,0.2471
296,0.2,0.2469
297,0.2,0.2468
298,0.2,0.2466
299,0.2,0.2465
300,0.2,0.2464
301,0.2,0.2463
302,0.2,0.2462
303,0.2,0.246
304,0.2,0.2459
305,0.2,0.2458
306,0.2,0.2458
307,0.2,0.2457
308,0.2,0.2456
309,0.2,0.2455
310,0.2,0.2454
311,0.2,0.2454
312,0.2,0.2453
313,0.2,0.2452
314,0.2,0.2452
315,0.2,0.2451
316,0.2,0.2451
317,0.2,0.245
318,0.2,0.2449
319,0.2,0.2449
320,0.2,0.2449
321,0.2,0.2448
322,0.2,0.2448
323,0.2,0.2447
324,0.2,0.2447
325,0.2,0.2447
326,0.2,0.2446
327,0.2,0.2446
328,0.2,0.2446
329,0.2,0.2445
330,0.2,0.2445
331,0.2,0.2445
332,0.2,0.2445
333,0.2,0.2444
334,0.2,0.2444
335,0.2,0.2444
336,0.2,0.2444
337,0.2,0.2444
338,0.2,0.2443
339,0.2,0.2443
340,0.2,0.2443
341,0.2,0.2443
342,0.2,0.2443
343,0.2,0.2443
344,0.2,0.2442
345,0.2,0.2442
346,0.2,0.2442
347,0.2,0.2442
348,0.2,0.2442
349,0.2,0.2442
350,0.2,0.2442
351,0.2,0.2442
352,0.2,0.2442
353,0.2,0.2442
354,0.2,0.2441
355,0.2,0.2441
356,0.2,0.2441
357,0.2,0.2441
358,0.2,0.2441
359,0.2,0.2441
360,0.2,0.2441
361,0.2,0.2441
362,0.2,0.2441
363,0.2,0.2441
364,0.2,0.2441
365,0.2,0.2441
366,0.2,0.2441
367,0.2,0.2441
368,0.2,0.2441
369,0.2,0.2441
370,0.2,0.2441
371,0.2,0.2441
372,0.2,0.2441
373,0.2,0.2441
374,0.2,0.2441
375,0.2,0.2441
376,0.2,0.244
377,0.2,0.244
378,0.2,0.244
379,0.2,0.244
380,0.2,0.244
381,0.2,0.244
382,0.2,0.244
383,0.2,0.244
384,0.2,0.244
385,0.2,0.244
386,0.2,0.244
387,0.2,0.244
388,0.2,0.244
389,0.2,0.244
390,0.2,0.244
391,0.2,0.244
392,0.2,0.244
393,0.2,0.244
394,0.2,0.244
395,0.2,0.244
396,0.2,0.244
397,0.2,0.244
398,0.2,0.244
399,0.2,0.244
400,0.2,0.244
401,0.2,0.244
402,0.2,0.244
403,0.2,0.244
404,0.2,0.244
405,0.2,0.244
406,0.2,0.244
407,0.2,0.244
408,0.2,0.244
409,0.2,0.244
410,0.2,0.244
411,0.2,0.244
412,0.2,0.244
413,0.2,0.244
414,0.2,0.244
415,0.2,0.244
416,0.2,0.244
