arrival_hour,park_duration,energy_gap,demand_level_encoded,price_sensitive,action_index,action_value
11,1.896388888888889,11.00562430965597,1,Free Period,3,0.1
6,9.352777777777778,-6.12744525564815,0,Free Period,4,0.2
7,7.630277777777778,18.167821636192578,2,Free Period,2,0.0
7,7.1075,-2.3763915983152,0,Free Period,4,0.2
7,1.4308333333333334,-0.1670735871725899,0,Free Period,4,0.2
8,8.090277777777779,-4.6370636352194,1,Free Period,1,-0.1
8,9.551111111111112,-11.0671499011421,0,Free Period,2,0.0
9,8.105,3.59208606051575,1,Free Period,2,0.0
9,7.098888888888889,10.23128260955161,1,Free Period,2,0.0
13,2.990833333333333,0.6921168143530201,0,Free Period,4,0.2
7,5.877777777777778,9.4095453552421,2,Free Period,3,0.1
7,5.808888888888889,4.1691216517125,1,Free Period,2,0.0
7,5.3775,-4.8805745020980105,0,Free Period,4,0.2
7,8.292222222222222,-0.7464861262181497,1,Free Period,1,-0.1
7,5.284166666666667,2.98173539122417,1,Free Period,3,0.1
8,3.828611111111111,6.0122257019393,2,Free Period,1,-0.1
8,3.229722222222222,15.58640659669535,2,Free Period,3,0.1
8,9.413611111111113,19.60172780339157,2,Free Period,4,0.2
8,8.097222222222221,10.468420076390933,1,Free Period,0,-0.2
8,8.181666666666667,1.30259669592651,0,Free Period,3,0.1
9,7.9225,7.4184254988637,2,Free Period,1,-0.1
11,5.286666666666667,1.1836883134226808,0,Free Period,4,0.2
11,6.264166666666667,3.8405946450273,1,Free Period,3,0.1
12,5.3475,-4.374036324756499,1,Free Period,0,-0.2
6,9.400277777777776,4.47033103215211,1,Free Period,0,-0.2
8,2.8158333333333334,5.47906830950405,1,Free Period,2,0.0
8,9.808333333333334,14.1029952455008,2,Free Period,2,0.0
8,8.442777777777778,2.9386303374770906,0,Free Period,1,-0.1
8,7.505277777777778,-1.0982418306192994,1,Free Period,3,0.1
8,8.153055555555556,4.733047017479301,2,Free Period,3,0.1
9,8.508333333333333,6.05876769491411,1,Free Period,2,0.0
9,5.7225,8.440943835935,2,Free Period,3,0.1
9,8.625555555555556,1.87498127186834,0,Free Period,3,0.1
9,7.291111111111111,6.8227979005365,2,Free Period,0,-0.2
7,3.8825,9.6155292572102,2,Free Period,2,0.0
7,8.403333333333334,-4.09678725784504,0,Free Period,4,0.2
7,9.385,0.1396089572458798,0,Free Period,2,0.0
7,10.005,3.9346734423535104,1,Free Period,4,0.2
8,8.800555555555556,6.7878637868117,2,Free Period,0,-0.2
8,8.455833333333333,2.3406578389372004,0,Free Period,1,-0.1
8,9.645277777777778,4.96055991865385,1,Free Period,3,0.1
9,6.763888888888889,5.1310857874068105,1,Free Period,0,-0.2
9,7.305555555555555,4.4078244304647,1,Free Period,3,0.1
12,5.401388888888889,4.065282048493991,1,Free Period,1,-0.1
7,6.4463888888888885,8.0430381639738,2,Free Period,1,-0.1
7,8.7675,4.2048599195496,1,Free Period,0,-0.2
7,9.673333333333334,3.95317469859554,0,Free Period,1,-0.1
7,5.269722222222223,5.203783085502669,1,Free Period,4,0.2
7,3.266388888888889,7.611909578282431,2,Free Period,1,-0.1
8,8.58361111111111,5.80965614240967,1,Free Period,3,0.1
8,7.810555555555555,0.4213189957665797,0,Free Period,3,0.1
8,7.804722222222222,5.93143446962633,1,Free Period,3,0.1
8,9.743055555555555,3.23128486785461,1,Free Period,3,0.1
8,8.911388888888888,4.73696105932328,1,Free Period,4,0.2
9,8.994722222222222,17.134295372166513,2,Free Period,2,0.0
9,7.684444444444445,4.8751978925118,1,Free Period,0,-0.2
9,2.9547222222222222,4.78610295011139,1,Free Period,3,0.1
12,4.3875,5.610358829751,2,Free Period,1,-0.1
13,1.5963888888888889,-2.183345890168111,0,Free Period,3,0.1
6,9.389444444444443,5.045903061141431,1,Free Period,1,-0.1
7,10.27138888888889,3.56289585899302,1,Free Period,1,-0.1
7,8.224722222222223,0.8813962582383397,1,Free Period,3,0.1
8,3.742777777777778,7.645842152632611,2,Free Period,4,0.2
8,3.703333333333333,4.61825880649296,1,Free Period,1,-0.1
8,8.131666666666666,3.9240450934746,1,Free Period,1,-0.1
9,8.849722222222223,14.984002166722,2,Free Period,3,0.1
9,8.641666666666667,1.7980897633785,0,Free Period,1,-0.1
9,7.470555555555555,8.22113919761476,2,Free Period,1,-0.1
13,2.400555555555556,9.12391367520662,2,Free Period,3,0.1
12,0.7091666666666666,2.92008700254817,0,Free Period,3,0.1
7,4.039444444444444,8.505263519784,2,Free Period,0,-0.2
7,5.154444444444445,1.1536592273975508,1,Free Period,4,0.2
8,5.4783333333333335,5.25103229664441,1,Free Period,4,0.2
8,9.769444444444444,4.63159309843667,1,Free Period,1,-0.1
8,8.063888888888888,5.1438280796441,2,Free Period,4,0.2
8,9.548055555555557,19.74992303264139,2,Free Period,1,-0.1
8,3.5316666666666667,9.12758778754917,2,Free Period,0,-0.2
8,3.5141666666666667,7.871010185804391,2,Free Period,3,0.1
9,6.126666666666667,6.5095924144562005,2,Free Period,3,0.1
10,6.885833333333333,4.059716873769981,1,Free Period,3,0.1
11,6.484444444444445,4.07529017494401,1,Free Period,4,0.2
14,2.5816666666666666,11.46466313555688,2,Free Period,0,-0.2
6,9.383888888888889,0.0902936289014899,0,Free Period,4,0.2
7,5.145277777777777,3.18643302608705,1,Free Period,4,0.2
8,4.4625,2.6611278082694696,0,Free Period,0,-0.2
8,3.721388888888889,8.57742349959302,2,Free Period,0,-0.2
8,8.382777777777777,3.6882530264168105,0,Free Period,0,-0.2
8,6.054722222222222,6.401389275549398,2,Free Period,0,-0.2
