arrival_hour,park_duration,energy_gap,demand_level_encoded,price_sensitive,action_index,action_value,price_sensitive_flag,delivered_energy,revenue,peak_penalty,discomfort_penalty,reward
11,1.896388888888889,11.00562430965597,1,Free Period,3,0.1,1,13.654,1.3654000000000002,1,1,-6.6346
6,9.352777777777778,-6.12744525564815,0,Free Period,4,0.2,1,0.0,0.0,0,1,-3.0
7,7.630277777777778,18.167821636192578,2,Free Period,2,0.0,1,54.938,0.0,0,0,0.0
7,7.1075,-2.3763915983152,0,Free Period,4,0.2,1,0.0,0.0,0,1,-3.0
7,1.4308333333333334,-0.1670735871725899,0,Free Period,4,0.2,1,0.0,0.0,0,1,-3.0
8,8.090277777777779,-4.6370636352194,1,Free Period,1,-0.1,1,0.0,-0.0,1,0,-5.0
8,9.551111111111112,-11.0671499011421,0,Free Period,2,0.0,1,0.0,0.0,1,0,-5.0
9,8.105,3.59208606051575,1,Free Period,2,0.0,1,25.8630196357134,0.0,1,0,-5.0
9,7.098888888888889,10.23128260955161,1,Free Period,2,0.0,1,51.112,0.0,1,0,-5.0
13,2.990833333333333,0.6921168143530201,0,Free Period,4,0.2,1,4.983241063341745,0.996648212668349,0,1,-2.003351787331651
7,5.877777777777778,9.4095453552421,2,Free Period,3,0.1,1,42.32000000000001,4.232000000000001,0,1,1.232000000000001
7,5.808888888888889,4.1691216517125,1,Free Period,2,0.0,1,30.017675892329997,0.0,0,0,0.0
7,5.3775,-4.8805745020980105,0,Free Period,4,0.2,1,0.0,0.0,0,1,-3.0
7,8.292222222222222,-0.7464861262181497,1,Free Period,1,-0.1,1,0.0,-0.0,0,0,-0.0
7,5.284166666666667,2.98173539122417,1,Free Period,3,0.1,1,21.468494816814026,2.1468494816814028,0,1,-0.8531505183185972
8,3.828611111111111,6.0122257019393,2,Free Period,1,-0.1,1,27.566,-2.7566,1,0,-7.756600000000001
8,3.229722222222222,15.58640659669535,2,Free Period,3,0.1,1,23.254,2.3254,1,1,-5.6746
8,9.413611111111113,19.60172780339157,2,Free Period,4,0.2,1,67.77800000000002,13.555600000000005,1,1,5.555600000000005
8,8.097222222222221,10.468420076390933,1,Free Period,0,-0.2,1,58.3,-11.66,1,0,-16.66
8,8.181666666666667,1.30259669592651,0,Free Period,3,0.1,1,9.378696210670872,0.9378696210670873,1,1,-7.062130378932912
9,7.9225,7.4184254988637,2,Free Period,1,-0.1,1,53.41266359181864,-5.341266359181865,1,0,-10.341266359181866
11,5.286666666666667,1.1836883134226808,0,Free Period,4,0.2,1,8.522555856643303,1.7045111713286607,1,1,-6.295488828671339
11,6.264166666666667,3.8405946450273,1,Free Period,3,0.1,1,27.65228144419656,2.7652281444196563,1,1,-5.234771855580344
12,5.3475,-4.374036324756499,1,Free Period,0,-0.2,1,0.0,-0.0,0,0,-0.0
6,9.400277777777776,4.47033103215211,1,Free Period,0,-0.2,1,32.186383431495194,-6.43727668629904,0,0,-6.43727668629904
8,2.8158333333333334,5.47906830950405,1,Free Period,2,0.0,1,20.274,0.0,1,0,-5.0
8,9.808333333333334,14.1029952455008,2,Free Period,2,0.0,1,70.62,0.0,1,0,-5.0
8,8.442777777777778,2.9386303374770906,0,Free Period,1,-0.1,1,21.158138429835052,-2.1158138429835054,1,0,-7.115813842983505
8,7.505277777777778,-1.0982418306192994,1,Free Period,3,0.1,1,0.0,0.0,1,1,-8.0
