driverId,arrival_hour,park_duration,kwh_requested,energy_charged,energy_gap,demand_level,price_sensitive
299,11,1.896388888888889,14.0,2.99437569034403,11.00562430965597,Medium,Free Period
159,6,9.352777777777778,1.75,7.87744525564815,-6.12744525564815,Low,Free Period
93,7,7.630277777777778,27.0,8.83217836380742,18.167821636192578,High,Free Period
85,7,7.1075,6.0,8.3763915983152,-2.3763915983152,Low,Free Period
85,7,1.4308333333333334,4.2,4.36707358717259,-0.1670735871725899,Low,Free Period
87,8,8.090277777777779,9.0,13.6370636352194,-4.6370636352194,Medium,Free Period
115,8,9.551111111111112,3.5,14.5671499011421,-11.0671499011421,Low,Free Period
40,9,8.105,10.5,6.90791393948425,3.59208606051575,Medium,Free Period
10,9,7.098888888888889,14.0,3.76871739044839,10.23128260955161,Medium,Free Period
2690,13,2.9908333333333332,7.0,6.30788318564698,0.6921168143530201,Low,Free Period
43,7,5.877777777777778,24.0,14.5904546447579,9.4095453552421,High,Free Period
16,7,5.808888888888889,12.0,7.8308783482875,4.1691216517125,Medium,Free Period
2725,7,5.3775,3.5,8.38057450209801,-4.8805745020980105,Low,Free Period
85,7,8.292222222222222,9.0,9.74648612621815,-0.7464861262181497,Medium,Free Period
2411,7,5.284166666666667,12.0,9.01826460877583,2.98173539122417,Medium,Free Period
2725,8,3.828611111111111,17.5,11.4877742980607,6.0122257019393,High,Free Period
43,8,3.229722222222222,24.0,8.41359340330465,15.58640659669535,High,Free Period
2574,8,9.413611111111111,27.0,7.39827219660843,19.60172780339157,High,Free Period
125,8,8.097222222222221,15.0,4.53157992360907,10.468420076390931,Medium,Free Period
10,8,8.181666666666667,3.5,2.19740330407349,1.30259669592651,Low,Free Period
161,9,7.9225,21.0,13.5815745011363,7.4184254988637,High,Free Period
116,11,5.286666666666667,6.15,4.96631168657732,1.1836883134226808,Low,Free Period
40,11,6.264166666666667,14.0,10.1594053549727,3.8405946450273003,Medium,Free Period
97,12,5.3475,9.0,13.3740363247565,-4.374036324756499,Medium,Free Period
159,6,9.400277777777777,14.0,9.52966896784789,4.47033103215211,Medium,Free Period
415,8,2.8158333333333334,12.0,6.52093169049595,5.47906830950405,Medium,Free Period
415,8,9.808333333333334,27.0,12.8970047544992,14.1029952455008,High,Free Period
116,8,8.442777777777778,6.15,3.21136966252291,2.9386303374770906,Low,Free Period
85,8,7.505277777777778,9.0,10.0982418306193,-1.0982418306192994,Medium,Free Period
161,8,8.153055555555556,16.5,11.7669529825207,4.733047017479301,High,Free Period
39,9,8.508333333333333,10.5,4.44123230508589,6.05876769491411,Medium,Free Period
2723,9,5.7225,22.5,14.059056164065,8.440943835935,High,Free Period
40,9,8.625555555555556,3.5,1.62501872813166,1.87498127186834,Low,Free Period
402,9,7.291111111111111,18.2,11.3772020994635,6.8227979005365,High,Free Period
43,7,3.8825,24.0,14.3844707427898,9.6155292572102,High,Free Period
2725,7,8.403333333333334,5.25,9.34678725784504,-4.09678725784504,Low,Free Period
2695,7,9.385,7.5,7.36039104275412,0.13960895724587985,Low,Free Period
39,7,10.005,10.5,6.56532655764649,3.9346734423535104,Medium,Free Period
161,8,8.800555555555556,18.0,11.2121362131883,6.7878637868117,High,Free Period
116,8,8.455833333333333,6.15,3.8093421610628,2.3406578389372004,Low,Free Period
115,8,9.645277777777778,10.5,5.53944008134615,4.96055991865385,Medium,Free Period
2723,9,6.763888888888889,15.0,9.86891421259319,5.1310857874068105,Medium,Free Period
2731,9,7.305555555555555,15.0,10.5921755695353,4.4078244304647,Medium,Free Period
40,12,5.401388888888889,14.0,9.93471795150601,4.065282048493991,Medium,Free Period
16,7,6.4463888888888885,19.5,11.4569618360262,8.0430381639738,High,Free Period
85,7,8.7675,9.0,4.7951400804504,4.2048599195496,Medium,Free Period
2695,7,9.673333333333334,6.0,2.04682530140446,3.95317469859554,Low,Free Period
2411,7,5.269722222222223,15.0,9.79621691449733,5.203783085502669,Medium,Free Period
2411,7,3.266388888888889,17.5,9.88809042171757,7.611909578282431,High,Free Period
125,8,8.58361111111111,15.0,9.19034385759033,5.80965614240967,Medium,Free Period
2725,8,7.810555555555555,5.25,4.82868100423342,0.4213189957665797,Low,Free Period
2723,8,7.804722222222222,15.0,9.06856553037367,5.93143446962633,Medium,Free Period
115,8,9.743055555555555,8.75,5.51871513214539,3.23128486785461,Medium,Free Period
