INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP,DATE,HOUR,DATETIME,WEEKDAY,IS_WEEKEND,HOUR_SIN,HOUR_COS,DAY_OF_YEAR,ROLLING_MEAN_6H,ROLLING_STD_6H
2024-07-01T07:00:00-00:00,2024-07-01T08:00:00-00:00,2024-07-01,1,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,38.78123,1,2024-07-01,1,2024-07-01 00:00:00,0,0,0.25881904510252074,0.9659258262890683,183,38.78123,
2024-07-01T08:00:00-00:00,2024-07-01T09:00:00-00:00,2024-07-01,2,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,36.16257,1,2024-07-01,2,2024-07-01 01:00:00,0,0,0.49999999999999994,0.8660254037844387,183,37.471900000000005,1.851672243621966
2024-07-01T09:00:00-00:00,2024-07-01T10:00:00-00:00,2024-07-01,3,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,35.40675,1,2024-07-01,3,2024-07-01 02:00:00,0,0,0.7071067811865476,0.7071067811865476,183,36.783516666666664,1.770864164675919
2024-07-01T10:00:00-00:00,2024-07-01T11:00:00-00:00,2024-07-01,4,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,35.24863,1,2024-07-01,4,2024-07-01 03:00:00,0,0,0.8660254037844386,0.5000000000000001,183,36.399795,1.6369511893659738
2024-07-01T11:00:00-00:00,2024-07-01T12:00:00-00:00,2024-07-01,5,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,35.55608,1,2024-07-01,5,2024-07-01 04:00:00,0,0,0.9659258262890683,0.25881904510252074,183,36.231052,1.4669962159187762
2024-07-01T12:00:00-00:00,2024-07-01T13:00:00-00:00,2024-07-01,6,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,39.22935,1,2024-07-01,6,2024-07-01 05:00:00,0,0,1.0,6.123233995736766e-17,183,36.73076833333334,1.7944249220339827
2024-07-01T13:00:00-00:00,2024-07-01T14:00:00-00:00,2024-07-01,7,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,35.01441,1,2024-07-01,7,2024-07-01 06:00:00,0,0,0.9659258262890683,-0.25881904510252063,183,36.102965000000005,1.5796502609090424
2024-07-01T14:00:00-00:00,2024-07-01T15:00:00-00:00,2024-07-01,8,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,26.36967,1,2024-07-01,8,2024-07-01 07:00:00,0,0,0.8660254037844387,-0.4999999999999998,183,34.470814999999995,4.271451083647103
2024-07-01T15:00:00-00:00,2024-07-01T16:00:00-00:00,2024-07-01,9,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,20.88915,1,2024-07-01,9,2024-07-01 08:00:00,0,0,0.7071067811865476,-0.7071067811865475,183,32.051215,6.923659966924286
2024-07-01T16:00:00-00:00,2024-07-01T17:00:00-00:00,2024-07-01,10,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,24.65059,1,2024-07-01,10,2024-07-01 09:00:00,0,0,0.49999999999999994,-0.8660254037844387,183,30.284875,7.287130881530125
